CL_CD,RACE_YEAR,RACE_MT,RACE_DAY,TITLE_NM,DETAIL_CN
"1","2019","11","10","제44회차 03일째",
"1","2019","12","13","제49회차 01일째",
"1","2019","01","06","제01회차 03일째",
"1","2019","01","13","제02회차 03일째",
"1","2019","01","26","제04회차 02일째",
"1","2019","02","10","제06회차 03일째",
"1","2019","02","16","제07회차 03일째",
"1","2019","03","17","제11회차 03일째",
"1","2019","03","23","제12회차 02일째",
"1","2019","04","07","제14회차 03일째",
"1","2019","04","20","제16회차 02일째",
"1","2019","04","21","제16회차 03일째",
"1","2019","05","10","제19회차 01일째",
"1","2019","05","11","제19회차 02일째",
"1","2019","06","01","제22회차 02일째",
"1","2019","06","21","제25회차 01일째",
"1","2019","07","05","제27회차 01일째",
"1","2019","07","27","제30회차 02일째",
"1","2019","08","09","제32회차 01일째",
"1","2019","08","16","제33회차 01일째",
"1","2019","10","19","제41회차 02일째",
"1","2019","10","25","제42회차 01일째",
"1","2019","11","17","제45회차 03일째",
"1","2019","11","23","제46회차 02일째",
"1","2019","12","14","제49회차 02일째",
"1","2019","09","29","제38회차 03일째",
"1","2019","10","18","제41회차 01일째",
"1","2019","02","08","제06회차 01일째",
"1","2019","06","22","제25회차 02일째",
"1","2019","10","06","제39회차 03일째",
"1","2019","11","09","제44회차 02일째",
"1","2019","01","05","제01회차 02일째",
"1","2019","01","12","제02회차 02일째",
"1","2019","02","09","제06회차 02일째",
"1","2019","02","22","제08회차 01일째",
"1","2019","03","15","제11회차 01일째",
"1","2019","04","05","제14회차 01일째",
"1","2019","04","13","제15회차 02일째",
"1","2019","05","03","제18회차 01일째",
"1","2019","05","26","제21회차 03일째",
"1","2019","06","08","제23회차 02일째",
"1","2019","08","02","제31회차 01일째",
"1","2019","09","21","제37회차 02일째",
"1","2019","11","15","제45회차 01일째",
"1","2019","11","22","제46회차 01일째",
"1","2019","02","14","제07회차 01일째",
"1","2020","01","03","제01회차 1일째",
"1","2020","01","04","제01회차 2일째",
"1","2020","01","05","제01회차 3일째",
"1","2020","01","11","제02회차 2일째",
"1","2020","01","12","제02회차 3일째",
"1","2020","01","17","제03회차 1일째",
"1","2020","01","18","제03회차 2일째",
"1","2020","01","19","제03회차 3일째",
"1","2020","01","26","제04회차 01일째",
"1","2020","01","31","제05회차 1일째",
"1","2020","02","01","제05회차 2일째",
"1","2020","02","02","제05회차 3일째",
"1","2020","02","07","제06회차 1일째",
"1","2020","02","08","제06회차 2일째",
"1","2020","02","09","제06회차 3일째",
"1","2020","02","14","제07회차 1일째",
"1","2020","02","15","제07회차 2일째",
"1","2020","02","16","제07회차 3일째",
"1","2020","02","21","제08회차 1일째",
"1","2020","02","22","제08회차 2일째",
"1","2020","02","23","제08회차 3일째",
"1","2020","03","06","제10회차 1일째",
"1","2020","03","07","제10회차 2일째",
"1","2020","03","08","제10회차 3일째",
"1","2020","03","13","제11회차 1일째",
"1","2020","03","14","제11회차 2일째",
"1","2020","03","15","제11회차 3일째",
"1","2020","03","20","제12회차 1일째",
"1","2020","03","21","제12회차 2일째",
"1","2020","03","22","제12회차 3일째",
"1","2020","03","27","제13회차 1일째",
"1","2020","03","28","제13회차 2일째",
"1","2020","03","29","제13회차 3일째",
"1","2020","04","03","제14회차 1일째",
"1","2020","04","04","제14회차 2일째",
"1","2020","04","05","제14회차 3일째",
"1","2020","04","10","제15회차 1일째",
"1","2020","04","11","제15회차 2일째",
"1","2020","04","12","제15회차 3일째",
"1","2020","04","24","제17회차 1일째",
"1","2020","04","25","제17회차 2일째",
"1","2020","04","26","제17회차 3일째",
"1","2020","05","01","제18회차 1일째",
"1","2020","05","02","제18회차 2일째",
"1","2020","05","03","제18회차 3일째",
"1","2020","05","08","제19회차 1일째",
"1","2020","05","09","제19회차 2일째",
"1","2020","05","10","제19회차 3일째",
"1","2020","05","15","제20회차 1일째",
"1","2020","05","16","제20회차 2일째",
"1","2020","05","17","제20회차 3일째",
"1","2020","05","22","제21회차 1일째",
"1","2020","05","23","제21회차 2일째",
"1","2020","05","24","제21회차 3일째",
"1","2020","05","29","제22회차 1일째",
"1","2020","05","30","제22회차 2일째",
"1","2020","05","31","제22회차 3일째",
"1","2020","06","05","제23회차 1일째",
"1","2020","06","06","제23회차 2일째",
"1","2020","06","07","제23회차 3일째",
"1","2020","06","12","제24회차 1일째",
"1","2020","06","13","제24회차 2일째",
"1","2020","06","14","제24회차 3일째",
"1","2020","06","19","제25회차 1일째",
"1","2020","01","27","제04회차 02일째",
"1","2020","06","20","제25회차 2일째",
"1","2020","06","21","제25회차 3일째",
"1","2020","07","03","제27회차 1일째",
"1","2020","07","04","제27회차 2일째",
"1","2020","07","05","제27회차 3일째",
"1","2020","07","10","제28회차 1일째",
"1","2020","07","11","제28회차 2일째",
"1","2020","07","12","제28회차 3일째",
"1","2020","07","17","제29회차 1일째",
"1","2020","07","18","제29회차 2일째",
"1","2020","07","19","제29회차 3일째",
"1","2020","07","24","제30회차 1일째",
"1","2022","06","17","제24회차 01일째",
"1","2022","06","19","제24회차 03일째",
"1","2022","07","02","제26회차 02일째",
"1","2022","07","03","제26회차 03일째",
"1","2022","07","09","제27회차 02일째",
"1","2022","07","16","제28회차 02일째",
"1","2022","07","22","제29회차 01일째",
