BASE_YEAR,PLAYER_NO,PLAYER_NM,PLAYER_GRAD_NM,PRACE_TME_CO,PRACE_DE_CO,N1R_NCNT,N1R_VICTRY_RT,N2R_NCNT,YUNDAE_RT,N3R_NCNT,THREE_YUNDAE_RT,N4R_NCNT,N5R_NCNT,N6R_NCNT,N7R_NCNT,N8R_NCNT,N9R_NCNT,DSQLFC_CO,FELOFF_ABANDN_VALUE,DEFECT_ABANDN_VALUE,PN_AFLTION_NM,PRECDNG_N1CK_NCNT,OVRTK_N1CK_NCNT,EXCD_N1CK_NCNT,DEFNS_N1CK_NCNT,WARN_NCNT,ATENT_NCNT,EVL_SCORE,GEAR_MULTIP_VALUE,TOT_RANK_CO
"1998","19980023","서인원",,"13","17","0","0","3","18","2","0","3","1","5","3","0","0","0","0","0","5/1",,,,,,,,,
"1998","19970006","윤진철",,"16","46","7","15","7","30","10","0","7","6","3","3","0","0","1","2","0","4/1",,,,,,,,,
"1998","19970016","홍미웅",,"14","50","10","20","6","32","10","0","8","10","0","4","0","0","2","0","0","4/1",,,,,,,,,
"1998","19950069","최항진",,"14","41","8","20","7","37","4","0","5","4","7","4","0","0","1","2","0","2/1",,,,,,,,,
"1998","19970046","박동수",,"14","55","7","13","14","38","8","0","13","6","3","3","0","0","0","1","0","4/1",,,,,,,,,
"1998","19950030","이경태",,"16","47","10","21","6","34","9","0","7","6","4","4","0","0","0","1","0","2/1",,,,,,,,,
"1998","19980024","정성오",,"6","18","2","11","1","17","5","0","1","3","3","3","0","0","0","0","0","5/1",,,,,,,,,
"1998","19950015","김창규",,"16","48","3","6","9","25","10","0","4","6","10","5","0","0","1","1","0","2/1",,,,,,,,,
"1998","19970015","김규봉",,"17","48","9","19","8","35","3","0","4","6","10","8","0","0","0","0","0","4/1",,,,,,,,,
"1998","19940020","허은회",,"15","37","13","35","5","49","10","0","5","2","1","1","0","0","0","0","0","1/1",,,,,,,,,
"1998","19940031","김용대",,"17","50","3","6","6","18","6","0","5","9","11","10","0","0","0","0","0","1/1",,,,,,,,,
"1998","19940050","서우승",,"16","48","8","17","7","31","8","0","3","7","11","4","0","0","0","0","0","1/1",,,,,,,,,
"1998","19940083","신용수",,"8","50","19","38","3","44","8","0","5","5","4","5","0","0","1","0","0","1/3",,,,,,,,,
"1998","19940051","신양우",,"14","49","1","2","9","20","7","0","5","12","8","6","0","0","0","1","0","1/1",,,,,,,,,
"1998","19970053","신영극",,"13","50","14","28","10","48","6","0","6","6","5","3","0","0","0","0","0","4/1",,,,,,,,,
"1998","19980013","박창순",,"5","13","0","0","0","0","1","0","1","3","3","4","0","0","0","1","0","5/1",,,,,,,,,
"1998","19980027","강병철",,"7","18","0","0","4","21","3","0","6","1","2","0","0","0","1","1","0","5/1",,,,,,,,,
"1998","19950051","정성기",,"16","43","22","51","11","77","4","0","4","1","1","0","0","0","0","0","0","2/1",,,,,,,,,
"1998","19960034","최수용",,"14","52","8","15","8","31","16","0","7","7","4","2","0","0","0","0","0","3/1",,,,,,,,,
"1998","19960002","김우병",,"16","47","4","9","10","30","9","0","5","9","7","3","0","0","0","0","0","3/1",,,,,,,,,
"1998","19950014","현정운",,"12","34","5","15","9","41","5","0","4","5","2","3","0","0","0","1","0","2/1",,,,,,,,,
"1998","19980031","여민호",,"6","17","5","29","1","35","0","0","3","3","3","2","0","0","0","0","0","5/1",,,,,,,,,
"1999","19940083","신용수","A1","8","24","1","4","5","25","3","0","3","4","1","7","0","0","0","0","0","1/3",,,,,,,,,
"1999","19950014","현정운","A1","16","48","13","27","9","46","2","0","7","10","4","3","0","0","0","0","0","2/1",,,,,,,,,
"1999","19970002","주광일","S1","16","47","32","68","10","89","2","0","1","0","0","2","0","0","0","0","0","4/1",,,,,,,,,
"1999","19950053","정덕이","S2","12","42","7","17","8","36","7","0","5","8","4","3","0","0","0","0","0","2/1",,,,,,,,,
"1999","19950051","정성기","S1","15","44","18","41","14","73","7","0","2","0","3","0","0","0","0","0","0","2/1",,,,,,,,,
"1999","19970015","김규봉","S2","15","45","18","40","2","44","6","0","4","5","7","3","0","0","0","0","0","4/1",,,,,,,,,
"1999","19940050","서우승","A1","16","48","8","17","7","31","7","0","10","9","6","1","0","0","0","0","0","1/1",,,,,,,,,
"1999","19940031","김용대","B1","15","44","5","11","7","27","6","0","4","11","5","6","0","0","0","1","0","1/1",,,,,,,,,
"1999","19960024","용석길","S1","15","44","31","70","7","86","4","0","1","1","0","0","0","0","0","1","0","3/1",,,,,,,,,
"1999","19990007","송대호",,"2","6","2","33","1","50","0","0","0","1","2","0","0","0","0","0","0","6/1",,,,,,,,,
"1999","19990008","박종현",,"14","5","1","20","0","20","0","0","0","1","2","1","0","0","0","1","0","6/1",,,,,,,,,
"1999","19990010","정점식",,"3","9","0","0","5","56","1","0","2","1","0","0","0","0","0","0","0","6/1",,,,,,,,,
"1999","19990011","정영훈",,"14","9","5","56","1","67","3","0","0","0","0","0","0","0","0","0","0","6/1",,,,,,,,,
"1999","19990013","한지혁",,"3","8","0","0","1","13","1","0","1","0","3","2","0","0","0","1","0","6/1",,,,,,,,,
"1999","19990016","곽광상",,"2","6","0","0","1","17","1","0","1","1","0","2","0","0","0","0","0","6/1",,,,,,,,,
"1999","19950008","박재청","B2","14","42","5","12","3","19","11","0","5","7","6","5","0","0","0","0","0","2/1",,,,,,,,,
"1999","19990017","김지은",,"2","6","1","17","1","33","2","0","0","0","2","0","0","0","0","0","0","6/1",,,,,,,,,
"1999","19990024","조왕우",,"2","6","0","0","1","17","0","0","2","2","0","1","0","0","0","0","0","6/1",,,,,,,,,
"1999","19990026","박진우",,"12","6","0","0","2","33","3","0","1","0","0","0","0","0","0","0","0","6/1",,,,,,,,,
"1999","19990028","윤영수",,"2","4","0","0","0","0","0","0","1","2","1","0","0","0","0","1","0","6/1",,,,,,,,,
"1999","19990032","민상호",,"2","6","0","0","2","33","1","0","1","1","0","1","0","0","0","0","0","6/1",,,,,,,,,
"1999","19990040","김진수",,"2","5","1","20","0","20","0","0","2","1","1","0","0","0","0","1","0","6/1",,,,,,,,,
"1999","19990041","강동국",,"2","6","0","0","0","0","0","0","3","2","1","0","0","0","0","0","0","6/1",,,,,,,,,
"1999","19990043","이한성",,"2","6","1","17","1","33","1","0","1","1","1","0","0","0","0","0","0","6/1",,,,,,,,,
"1999","19960034","최수용","B1","14","44","1","2","7","18","8","0","6","6","11","5","0","0","0","1","0","3/1",,,,,,,,,
"1999","19940020","허은회","S1","15","44","9","20","16","57","7","0","2","6","3","1","0","0","1","1","0","1/1",,,,,,,,,
"1999","19940093","장보규","S2","16","47","14","30","9","49","5","0","4","3","9","3","0","0","0","0","0","1/3",,,,,,,,,
"1999","19940102","신우삼","S1","15","45","1","2","9","22","9","0","7","7","9","3","0","0","0","0","0","1/3",,,,,,,,,
"1999","19950029","임권빈","A1","15","45","8","18","4","27","4","0","7","7","6","9","0","0","0","0","0","2/1",,,,,,,,,
"1999","19970010","남태희","A1","16","46","13","28","5","39","8","0","6","3","4","7","0","0","0","1","0","4/1",,,,,,,,,
